Date,AccountNum,Service,UnblendedCost
2023-03-07,360293670841,Amazon Simple Storage Service,0.0000684
2023-03-07,360293670841,AWS Key Management Service,0
2023-03-07,360293670841,Tax,10.51
2023-03-08,360293670841,AWS CloudTrail,0
2023-03-08,360293670841,AWS Key Management Service,0
2023-03-08,360293670841,EC2 - Other,3.7170002645
2023-03-08,360293670841,Amazon Elastic Compute Cloud - Compute,0
2023-03-08,360293670841,Amazon Simple Storage Service,0.0036088304
2023-03-08,360293670841,AmazonCloudWatch,0
2023-03-09,360293670841,AWS CloudTrail,0
2023-03-09,360293670841,AWS Key Management Service,0.010752688
2023-03-09,360293670841,EC2 - Other,3.642265479
2023-03-09,360293670841,Amazon Elastic Compute Cloud - Compute,1.2919283264
2023-03-09,360293670841,Amazon Elastic Container Service for Kubernetes,0.794471111
2023-03-09,360293670841,Amazon Elastic Load Balancing,0.0450007732
2023-03-09,360293670841,Amazon Simple Storage Service,0.0036218419
2023-03-09,360293670841,Tax,3.52
2023-03-10,360293670841,AWS CloudTrail,0
2023-03-10,360293670841,AWS Key Management Service,0.032258064
2023-03-10,360293670841,Amazon EC2 Container Registry (ECR),0.0000983029
2023-03-10,360293670841,EC2 - Other,4.1433201437
2023-03-10,360293670841,Amazon Elastic Compute Cloud - Compute,3.8487508432
2023-03-10,360293670841,Amazon Elastic Container Service for Kubernetes,2.4
2023-03-10,360293670841,Amazon Elastic Load Balancing,0.5401954577
2023-03-10,360293670841,Amazon Simple Notification Service,0
2023-03-10,360293670841,Amazon Simple Storage Service,0.0040577442
2023-03-10,360293670841,Tax,0.01
2023-03-11,360293670841,AWS CloudTrail,0
2023-03-11,360293670841,AWS Key Management Service,0.032258064
2023-03-11,360293670841,Amazon EC2 Container Registry (ECR),0.0011106949
2023-03-11,360293670841,EC2 - Other,6.6098260036
2023-03-11,360293670841,Amazon Elastic Compute Cloud - Compute,1.6522693323
2023-03-11,360293670841,Amazon Elastic Container Service for Kubernetes,2.4
2023-03-11,360293670841,Amazon Elastic Load Balancing,0.54019824
2023-03-11,360293670841,Amazon Simple Storage Service,0.0022466511
2023-03-12,360293670841,AWS CloudTrail,0
2023-03-12,360293670841,AWS Key Management Service,0.032258064
2023-03-12,360293670841,Amazon EC2 Container Registry (ECR),0.0011110366
2023-03-12,360293670841,EC2 - Other,3.6000004179
2023-03-12,360293670841,Amazon Elastic Compute Cloud - Compute,0
2023-03-12,360293670841,Amazon Elastic Container Service for Kubernetes,2.4
2023-03-12,360293670841,Amazon Elastic Load Balancing,0.5400000421
2023-03-12,360293670841,Amazon Simple Storage Service,0.0017299089
2023-03-13,360293670841,AWS CloudTrail,0
2023-03-13,360293670841,AWS Key Management Service,0.032258064
2023-03-13,360293670841,Amazon EC2 Container Registry (ECR),0.001111176
2023-03-13,360293670841,EC2 - Other,3.4477803741
2023-03-13,360293670841,Amazon Elastic Compute Cloud - Compute,1.2589378593
2023-03-13,360293670841,Amazon Elastic Container Service for Kubernetes,2.159632667
2023-03-13,360293670841,Amazon Elastic Load Balancing,0.4725081171
2023-03-13,360293670841,Amazon Simple Storage Service,0.0065647889
2023-03-13,360293670841,Amazon Virtual Private Cloud,0.2400034944
2023-03-14,360293670841,AWS CloudTrail,0
2023-03-14,360293670841,AWS Key Management Service,0.032258064
2023-03-14,360293670841,Amazon EC2 Container Registry (ECR),0.001111176
2023-03-14,360293670841,EC2 - Other,2.5487662489
2023-03-14,360293670841,Amazon Elastic Compute Cloud - Compute,1.8135076497
2023-03-14,360293670841,Amazon Elastic Container Service for Kubernetes,1.06216725
2023-03-14,360293670841,Amazon Elastic Load Balancing,0.2713168473
2023-03-14,360293670841,Amazon Simple Storage Service,0.0091013901
2023-03-15,360293670841,AWS CloudTrail,0
2023-03-15,360293670841,AWS Key Management Service,0.032258064
2023-03-15,360293670841,Amazon EC2 Container Registry (ECR),0.001111176
2023-03-15,360293670841,EC2 - Other,2.9253226913
2023-03-15,360293670841,Amazon Elastic Compute Cloud - Compute,4.6302398902
2023-03-15,360293670841,Amazon Elastic Container Service for Kubernetes,2.4
2023-03-15,360293670841,Amazon Elastic Load Balancing,0.5406743049
2023-03-15,360293670841,Amazon Simple Notification Service,0
2023-03-15,360293670841,Amazon Simple Storage Service,0.0163750344
2023-03-15,360293670841,Tax,0.15
2023-03-16,360293670841,AWS CloudTrail,0
2023-03-16,360293670841,AWS Key Management Service,0.032258064
2023-03-16,360293670841,Amazon EC2 Container Registry (ECR),0.001170532
2023-03-16,360293670841,EC2 - Other,2.6011496175
2023-03-16,360293670841,Amazon Elastic Compute Cloud - Compute,2.314639193
2023-03-16,360293670841,Amazon Elastic Container Service for Kubernetes,2.4
2023-03-16,360293670841,Amazon Elastic Load Balancing,0.5401306921
2023-03-16,360293670841,Amazon Simple Storage Service,0.0073842867
2023-03-16,360293670841,Amazon Virtual Private Cloud,0.04
2023-03-16,360293670841,AmazonCloudWatch,0
2023-03-16,360293670841,CodeBuild,0
2023-03-16,360293670841,Tax,0.22
2023-03-17,360293670841,AWS CloudTrail,0
2023-03-17,360293670841,AWS Key Management Service,0.032258064
2023-03-17,360293670841,Amazon EC2 Container Registry (ECR),0.0022960056
2023-03-17,360293670841,EC2 - Other,2.5542536409
2023-03-17,360293670841,Amazon Elastic Compute Cloud - Compute,2.1781249557
2023-03-17,360293670841,Amazon Elastic Container Service for Kubernetes,2.4
2023-03-17,360293670841,Amazon Elastic Load Balancing,0.5408029833
2023-03-17,360293670841,Amazon Simple Storage Service,0.560672843
2023-03-17,360293670841,Amazon Virtual Private Cloud,0.48
2023-03-17,360293670841,AmazonCloudWatch,0
2023-03-17,360293670841,Tax,0.03
2023-03-18,360293670841,AWS CloudTrail,0
2023-03-18,360293670841,AWS Key Management Service,0.032258064
2023-03-18,360293670841,Amazon EC2 Container Registry (ECR),0.0022960056
2023-03-18,360293670841,EC2 - Other,2.1940215409
